TIME,OR1,OR2,OR3,deslogin,desoper,despublic,svn,eups,prodbeta,production
Tue Feb 23 05:52:06 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 06:22:17 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 06:52:29 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 07:22:40 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 07:52:52 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 08:23:02 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 08:53:14 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 09:23:25 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 09:53:37 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 10:23:48 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 10:53:59 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 11:24:11 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 11:54:22 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 12:24:35 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 12:54:45 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 13:24:55 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Tue Feb 23 13:55:05 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Tue Feb 23 14:25:13 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Tue Feb 23 14:55:22 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Tue Feb 23 15:25:31 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Tue Feb 23 15:55:41 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Tue Feb 23 16:25:53 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Tue Feb 23 16:56:03 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Tue Feb 23 17:26:13 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Tue Feb 23 17:56:22 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 18:26:34 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 18:56:46 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 19:26:57 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 19:57:09 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 20:27:21 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 20:57:33 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 21:27:45 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 21:57:57 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 22:28:09 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 22:58:20 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 23:28:32 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tue Feb 23 23:58:42 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 00:28:55 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 00:59:09 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 01:29:20 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 01:59:31 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 02:29:44 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 02:59:56 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 03:30:07 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 04:00:18 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Wed Feb 24 04:31:44 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 05:01:56 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 05:32:07 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 06:02:19 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 06:32:31 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 07:02:43 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 07:32:55 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 08:03:07 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 08:33:25 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 09:03:36 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 09:33:48 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 10:03:59 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 10:34:10 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 11:04:22 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 11:34:33 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 12:04:45 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 12:34:56 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 13:05:08 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 13:35:18 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 14:05:29 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 14:35:41 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 15:05:53 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 15:36:04 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 16:06:17 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 16:36:29 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 17:06:43 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 17:36:54 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 18:07:06 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 18:37:18 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 19:07:29 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 19:37:41 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 20:07:52 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 20:38:04 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 21:08:16 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 21:38:27 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 22:08:39 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 22:38:50 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 23:09:02 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 24 23:39:13 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 00:09:26 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 00:39:38 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 01:09:50 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 01:40:02 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 02:10:12 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 02:40:24 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 03:10:35 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 03:40:47 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 04:10:57 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 04:41:10 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 05:11:22 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 05:41:34 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 06:11:45 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 06:41:56 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 07:12:08 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 07:42:19 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 08:12:32 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 08:42:44 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 09:12:56 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 09:43:07 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 10:13:18 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 10:43:28 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 11:13:41 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 11:43:54 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 12:14:07 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 12:44:19 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 13:14:31 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 13:44:43 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 14:14:58 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 14:45:10 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 15:15:20 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 15:45:31 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 16:15:44 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 16:45:56 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 17:16:06 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 17:46:17 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 18:16:29 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 18:46:40 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 19:16:51 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 19:47:03 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 20:17:15 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 20:47:27 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 21:17:38 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 21:47:50 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 22:18:00 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 22:48:12 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 23:18:24 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thu Feb 25 23:48:35 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 00:18:47 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 00:48:58 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 01:19:11 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 01:49:23 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 02:19:35 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 02:49:48 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 03:20:00 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 03:50:11 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 04:20:22 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 04:50:34 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 05:20:46 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 05:50:56 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 06:21:07 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 06:51:19 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 07:21:30 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 07:51:42 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 08:21:54 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 08:52:06 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 09:22:18 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 09:52:29 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 10:22:41 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 10:52:52 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 11:23:04 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 11:53:16 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 12:23:28 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 12:53:39 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 13:23:50 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 13:54:01 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fri Feb 26 14:15:38 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
